target,source,Coste,player
Brentford,Brentford B,-,Yegor YarmolyukY. Yarmolyuk
Brentford,Nordsjælland,Fin de cesión 30/06/2023,Mads BidstrupM. Bidstrup
Brentford,Portsmouth FC,Fin de cesión 31/05/2024,Myles Peart-HarrisM. Peart-Harris
Brentford,Wigan,Fin de cesión 31/05/2024,Charlie GoodeC. Goode
Brentford,Exeter City,Fin de cesión 08/01/2024,Ryan TrevittR. Trevitt
Brentford,FC Groningen,Fin de cesión 30/06/2023,Mads Bech SørensenM. Bech Sørensen
Brentford,Oxford United,Fin de cesión 31/05/2024,Fin StevensF. Stevens
Brentford,Bolton,Fin de cesión 31/05/2024,Paris MaghomaP. Maghoma
Brentford,Olympiacos,Fin de cesión 30/06/2023,Sergi CanósS. Canós
Brentford,Bristol Rovers,Fin de cesión 31/05/2024,Matthew CoxM. Cox
Brentford,De Graafschap,Fin de cesión 30/06/2023,Joel ValenciaJ. Valencia
RB Salzburgo,Brentford,"6,00 mill. €",Mads BidstrupM. Bidstrup
Arsenal,Brentford,"Coste de cesión: 3,50 mill. €",David RayaD. Raya
Galatasaray,Brentford,500 mil €,Halil DervişoğluH. Dervişoğlu
Valencia CF,Brentford,250 mil €,Sergi CanósS. Canós
Malmoe FF,Brentford,Libre,Pontus JanssonP. Jansson
Z. Sosnowiec,Brentford,Libre,Joel ValenciaJ. Valencia
Midtjylland,Brentford,?,Mads Bech SørensenM. Bech Sørensen
Portsmouth FC,Brentford,Cesión,Myles Peart-HarrisM. Peart-Harris
Wigan,Brentford,Cesión,Charlie GoodeC. Goode
Exeter City,Brentford,Cesión,Ryan TrevittR. Trevitt
Oxford United,Brentford,Cesión,Fin StevensF. Stevens
Bolton,Brentford,Cesión,Paris MaghomaP. Maghoma
Bristol Rovers,Brentford,Cesión,Matthew CoxM. Cox
Sin equipo,Brentford,-,Tariqe FosuT. Fosu
SC Friburgo,Brentford,Fin de cesión 30/06/2023,Kevin SchadeK. Schade
Tottenham,Brentford,Fin de cesión 31/05/2024,Sergio ReguilónS. Reguilón
Brighton,Watford,"34,20 mill. €",João PedroJoão Pedro
Brighton,LOSC Lille,"27,00 mill. €",Carlos BalebaC. Baleba
