,target,source,Coste,player
10,Blackpool,Brighton,Préstamo,Jensen WeirJ. Weir
11,Swansea City,Brighton,Préstamo,Carl RushworthC. Rushworth
12,Leyton Orient,Brighton,Préstamo,Ed TurnsEd Turns
13,West Brom,Brighton,Préstamo,Jeremy SarmientoJ. Sarmiento
14,Coventry City,Brighton,Préstamo,Yasin AyariY. Ayari
15,Blackburn,Brighton,Préstamo,Andy MoranA. Moran
16,Sturm Graz,Brighton,Préstamo,Kjell ScherpenK. Scherpen
17,Rangers FC,Brighton,Préstamo,Abdallah SimaA. Sima
0,Burnley,FC Basilea,"18,60 mill. €",Zeki AmdouniZ. Amdouni
1,Burnley,Man City U21,"17,30 mill. €",James TraffordJ. Trafford
2,Burnley,Aston Villa U21,"16,45 mill. €",Aaron RamseyA. Ramsey
3,Burnley,Bor. M'gladbach,"15,00 mill. €",Jordan BeyerJ. Beyer
4,Burnley,Sheff Utd,"13,90 mill. €",Sander BergeS. Berge
5,Burnley,Troyes,"12,00 mill. €",Wilson OdobertW. Odobert
6,Burnley,West Brom,"7,80 mill. €",Dara O'SheaD. O'Shea
7,Burnley,Swansea City,"4,00 mill. €",Michael ObafemiM. Obafemi
8,Burnley,RSC Anderlecht,"3,00 mill. €",Hannes DelcroixH. Delcroix
9,Burnley,RCD Espanyol B,"3,00 mill. €",Luca KoleoshoL. Koleosho
10,Burnley,Besiktas,Libre,Nathan RedmondN. Redmond
11,Burnley,Leyton Orient,Libre,Lawrence VigourouxL. Vigouroux
12,Burnley,Bristol City,Libre,Han-Noah MassengoH. Massengo
13,Burnley,KRC Genk,Préstamo,Mike TrésorM. Trésor
14,Burnley,Hoffenheim,Préstamo,Jacob Bruun LarsenJ. Bruun Larsen
15,Burnley,Stoke City,Fin de préstamo 31/05/2024,Luke McNallyL. McNally
16,Burnley,St. Johnstone,Fin de préstamo 31/05/2024,Dara CostelloeD. Costelloe
17,Burnley,Hull City,Fin de préstamo 31/05/2024,Scott TwineS. Twine
18,Burnley,KV Malinas,Fin de préstamo 30/06/2023,Enock AgyeiE. Agyei
19,Burnley,Manchester Utd.,Fin de préstamo 30/06/2023,Wout WeghorstW. Weghorst
