,target,source,Coste,player
11,Torino,Torino U19,-,Ange Caumenan N'GuessanA. N'Guessan
12,Torino,Torino U19,-,Ali DembéléA. Dembélé
0,Mónaco,Torino,"10,00 mill. €",Wilfried SingoW. Singo
1,Monza,Torino,"3,00 mill. €",Armando IzzoA. Izzo
2,Brann,Torino,650 mil €,Magnus WarmingM. Warming
3,Mantova,Torino,Libre,Christian CelesiaC. Celesia
4,Atalanta,Torino,Libre,Michel AdopoM. Adopo
5,Nottm Forest,Torino,Libre,Ola AinaOla Aina
6,NF Ardea,Torino,Libre,Samuele VianniS. Vianni
7,Kecskemét,Torino,Préstamo,Krisztofer HorváthK. Horváth
8,Como,Torino,?,Simone VerdiS. Verdi
9,NAC Breda,Torino,?,Matthew GarbettM. Garbett
10,FC Empoli,Torino,?,Etrit BerishaE. Berisha
11,Basaksehir,Torino,Préstamo,Emirhan IlkhanE. Ilkhan
12,Ascoli,Torino,Préstamo,Brian BayeyeB. Bayeye
13,Venezia,Torino,Préstamo,Ali DembéléA. Dembélé
14,Como,Torino,Préstamo,Ben Lhassine KoneB. Kone
15,Novara,Torino,Préstamo,Giorgio SaviniG. Savini
16,Ascoli,Torino,Préstamo,Kevin HaveriK. Haveri
17,Südtirol,Torino,Préstamo,Nicola RautiN. Rauti
18,Sampdoria,Torino,Fin de préstamo 30/06/2023,Ronaldo VieiraR. Vieira
19,Stade Reims,Torino,Fin de préstamo 30/06/2023,Andreaw GravillonA. Gravillon
20,Hellas Verona,Torino,Fin de préstamo 30/06/2023,Ivan IlicIvan Ilic
21,West Ham,Torino,Fin de préstamo 30/06/2023,Nikola VlasicN. Vlasic
22,Atalanta,Torino,Fin de préstamo 30/06/2023,Aleksey MiranchukA. Miranchuk
23,Inter,Torino,Fin de préstamo 30/06/2023,Valentino LazaroV. Lazaro
24,Marsella,Torino,Fin de préstamo 30/06/2023,Nemanja RadonjicN. Radonjic
0,Monza,Atalanta,"12,00 mill. €",Matteo PessinaM. Pessina
1,Monza,Nápoles,"10,00 mill. €",Andrea PetagnaA. Petagna
2,Monza,Hellas Verona,"7,50 mill. €",Gianluca CaprariG. Caprari
3,Monza,Arsenal,"4,90 mill. €",Pablo MaríP. Marí
4,Monza,Cagliari,"3,60 mill. €",Alessio CragnoA. Cragno
5,Monza,Torino,"3,00 mill. €",Armando IzzoA. Izzo
6,Monza,Lazio,Coste de préstamo: 500 mil €,Jean-Daniel Akpa AkproJ. Akpa Akpro
7,Monza,Inter,Libre,Roberto GagliardiniR. Gagliardini
8,Monza,Inter,Libre,Danilo D'AmbrosioD. D'Ambrosio
9,Monza,AC Milan,Préstamo,Lorenzo ColomboL. Colombo
10,Monza,Juventus,Préstamo,Stefano GoriS. Gori
11,Monza,Sassuolo,Préstamo,Georgios KyriakopoulosG. Kyriakopoulos
12,Monza,Inter,Préstamo,Valentín CarboniV. Carboni
13,Monza,Atalanta,Préstamo,Giorgio CittadiniG. Cittadini
0,Venezia,Monza,Libre,Christian GytkjaerC. Gytkjaer
1,Cisanese,Monza,Libre,Tommaso MorosiniT. Morosini
2,Pisa,Monza,Libre,Andrea BarberisA. Barberis
3,Lecco,Monza,Libre,Luca MarroneL. Marrone
4,Frosinone,Monza,?,Luca MazzitelliL. Mazzitelli
5,Reggiana,Monza,?,Mario SampirisiM. Sampirisi
6,Bari,Monza,Préstamo,Davide DiawD. Diaw
7,Inter,Monza,Préstamo,Carlos AugustoCarlos Augusto
8,Pisa,Monza,Préstamo,Mattia ValotiM. Valoti
9,Pisa,Monza,Préstamo,Marco D'AlessandroM. D'Alessandro
10,Cagliari,Monza,Préstamo,Andrea PetagnaA. Petagna
11,Cremonese,Monza,Préstamo,Valentin AntovV. Antov
12,Palermo,Monza,Préstamo,Leonardo MancusoL. Mancuso
13,Sassuolo,Monza,Préstamo,Alessio CragnoA. Cragno
14,Cagliari,Monza,Fin de préstamo 30/06/2023,Alessio CragnoA. Cragno
15,Sin equipo,Monza,-,Giulio DonatiG. Donati
16,Torino,Monza,Fin de préstamo 30/06/2023,Armando IzzoA. Izzo
17,Fiorentina,Monza,Fin de préstamo 30/06/2023,Gabriele FerrariniG. Ferrarini
18,Juventus,Monza,Fin de préstamo 30/06/2023,Nicolò RovellaN. Rovella
19,Nápoles,Monza,Fin de préstamo 30/06/2023,Andrea PetagnaA. Petagna
20,Arsenal,Monza,Fin de préstamo 30/06/2023,Pablo MaríP. Marí
21,Shakhtar D.,Monza,Fin de préstamo 30/06/2023,MarlonMarlon
22,Juventus,Monza,Fin de préstamo 30/06/2023,Filippo RanocchiaF. Ranocchia
23,Hellas Verona,Monza,Fin de préstamo 30/06/2023,Gianluca CaprariG. Caprari
24,Atalanta,Monza,Fin de préstamo 30/06/2023,Matteo PessinaM. Pessina
25,Inter,Monza,Fin de préstamo 30/06/2023,Stefano SensiS. Sensi
0,Udinese,Cincinnati,"10,00 mill. €",BrennerBrenner
1,Udinese,Aarhus GF,"3,00 mill. €",Thomas KristensenT. Kristensen
2,Udinese,Aston Villa,"2,30 mill. €",Keinan DavisK. Davis
3,Udinese,Huddersfield,"2,00 mill. €",Etienne CamaraE. Camara
4,Udinese,Pisa,Coste de préstamo: 800 mil €,Lorenzo LuccaL. Lucca
5,Udinese,FC Bayern II,650 mil €,Antonio TikvicA. Tikvic
6,Udinese,Bournemouth,Libre,Jordan ZemuraJ. Zemura
7,Udinese,Athletic,Libre,Oier ZarragaO. Zarraga
8,Udinese,Watford,?,Christian KabaseleC. Kabasele
9,Udinese,Watford,?,Domingos QuinaD. Quina
10,Udinese,Watford,?,Maduka OkoyeM. Okoye
11,Udinese,Middlesbrough,?,Martín PayeroM. Payero
12,Udinese,Juventus,Préstamo,Marley AkéM. Aké
13,Udinese,Watford,Préstamo,João FerreiraJ. Ferreira
14,Udinese,Udinese U19,-,David PejičićD. Pejičić
15,Udinese,Udinese U19,-,Sekou DiawaraS. Diawara
0,Everton,Udinese,"25,00 mill. €",BetoBeto
1,Fenerbahce,Udinese,"8,31 mill. €",Rodrigo BecãoRodrigo Becão
2,Trabzonspor,Udinese,Coste de préstamo: 500 mil €,Filip BenkovicF. Benkovic
3,Ascoli,Udinese,Libre,Ilija NestorovskiI. Nestorovski
4,Juve Next Gen,Udinese,Libre,Martin PalumboM. Palumbo
5,Pontedera,Udinese,Libre,Simone IanesiS. Ianesi
6,Arezzo,Udinese,Libre,Mattia DamianiM. Damiani
7,Arouca,Udinese,Libre,Cristo GonzálezC. González
8,Melbourne City,Udinese,Libre,Tolgay ArslanT. Arslan
9,Alessandria,Udinese,Préstamo,Edoardo PianaE. Piana
10,Gil Vicente,Udinese,Préstamo,Leonardo ButaL. Buta
11,Charlton,Udinese,Préstamo,James AbankwahJ. Abankwah
12,Sin equipo,Udinese,-,Roberto PereyraR. Pereyra
13,Sin equipo,Udinese,-,Marvin ZeegelaarM. Zeegelaar
14,Tottenham,Udinese,Fin de préstamo 30/06/2023,Destiny UdogieD. Udogie
0,Sassuolo,Inter,"20,00 mill. €",Andrea PinamontiA. Pinamonti
1,Sassuolo,Frosinone,"10,00 mill. €",Daniel BolocaD. Boloca
2,Sassuolo,Génova,"8,00 mill. €",Luca LipaniL. Lipani
3,Sassuolo,AS Roma,"7,50 mill. €",Cristian VolpatoC. Volpato
4,Sassuolo,FC Empoli,"6,00 mill. €",Nedim BajramiN. Bajrami
5,Sassuolo,Inter,"6,00 mill. €",Samuele MulattieriS. Mulattieri
6,Sassuolo,AS Roma,"2,50 mill. €",Filippo MissoriF. Missori
7,Sassuolo,Valencia CF,"2,20 mill. €",Uros RacicU. Racic
8,Sassuolo,Feyenoord,"Coste de préstamo: 1,00 mill. €",Marcus PedersenM. Pedersen
9,Sassuolo,Valencia CF,Préstamo,Samu CastillejoS. Castillejo
10,Sassuolo,Monza,Préstamo,Alessio CragnoA. Cragno
11,Sassuolo,AS Roma,Préstamo,Matías ViñaM. Viña
12,Sassuolo,Niza,Préstamo,Mattia VitiM. Viti
13,Sassuolo,Sassuolo U19,-,Kevin MirandaK. Miranda
0,Juventus,Sassuolo,"30,00 mill. €",Manuel LocatelliM. Locatelli
1,Nápoles,Sassuolo,"26,00 mill. €",Giacomo RaspadoriG. Raspadori
2,Bournemouth,Sassuolo,"25,62 mill. €",Hamed Junior TraorèH. Traorè
3,Inter,Sassuolo,"Coste de préstamo: 6,00 mill. €",Davide FrattesiD. Frattesi
4,VfL Wolfsburgo,Sassuolo,"5,50 mill. €",RogérioRogério
5,Fenerbahce,Sassuolo,"2,80 mill. €",Mert MüldürM. Müldür
6,Galatasaray,Sassuolo,"2,80 mill. €",Kaan AyhanK. Ayhan
7,Frosinone,Sassuolo,"2,50 mill. €",Abdou HarrouiA. Harroui
8,Frosinone,Sassuolo,"1,50 mill. €",Riccardo MarchizzaR. Marchizza
9,Fiorentina,Sassuolo,"Coste de préstamo: 1,00 mill. €",Maxime LópezM. López
10,Pisa,Sassuolo,Libre,Matteo CampaniM. Campani
11,Budoni,Sassuolo,Libre,Alessandro BarbettaA. Barbetta
12,AS Gubbio,Sassuolo,Préstamo,Alessandro MercatiA. Mercati
13,NK Rudes,Sassuolo,?,Brian OddeiB. Oddei
14,Monopoli,Sassuolo,?,Samuele VitaleS. Vitale
15,Como,Sassuolo,?,Marco SalaM. Sala
16,LR Vicenza,Sassuolo,Préstamo,Jacopo PellegriniJ. Pellegrini
17,Cjarlins Muzane,Sassuolo,Préstamo,Bryan BonucciB. Bonucci
18,Pergolettese,Sassuolo,Préstamo,Christian AucelliC. Aucelli
19,FC Utrecht,Sassuolo,Préstamo,Ryan FlamingoR. Flamingo
20,Catanzaro,Sassuolo,Préstamo,Kevin MirandaK. Miranda
21,Ternana,Sassuolo,Préstamo,Andrei MargineanA. Marginean
22,Reggiana,Sassuolo,Préstamo,Janis AntisteJ. Antiste
23,Turris,Sassuolo,Préstamo,Matteo SaccaniM. Saccani
24,Catanzaro,Sassuolo,Préstamo,Luca D'AndreaL. D'Andrea
25,Monza,Sassuolo,Préstamo,Georgios KyriakopoulosG. Kyriakopoulos
26,Ascoli,Sassuolo,Préstamo,Giacomo ManzariG. Manzari
27,Spezia,Sassuolo,Préstamo,Luca MoroLuca Moro
28,Südtirol,Sassuolo,Préstamo,Riccardo CiervoR. Ciervo
29,Frosinone,Sassuolo,Préstamo,Stefano TuratiS. Turati
30,Trento,Sassuolo,Préstamo,Alessandro RussoA. Russo
31,Taranto,Sassuolo,Préstamo,Luigi SameleL. Samele
32,Reggiana,Sassuolo,Préstamo,Filippo RomagnaF. Romagna
33,Reggiana,Sassuolo,Préstamo,Giacomo SatalinoG. Satalino
34,Inter,Sassuolo,Fin de préstamo 30/06/2023,Andrea PinamontiA. Pinamonti
35,FC Empoli,Sassuolo,Fin de préstamo 30/06/2023,Nedim BajramiN. Bajrami
36,Atalanta,Sassuolo,Fin de préstamo 30/06/2023,Nadir ZorteaN. Zortea
0,FC Empoli,Nápoles,"2,50 mill. €",Sebastiano LupertoS. Luperto
1,FC Empoli,Spezia,"2,00 mill. €",Emmanuel GyasiE. Gyasi
2,FC Empoli,Cagliari,"1,00 mill. €",Sebastian WalukiewiczS. Walukiewicz
3,FC Empoli,Lazio,"Coste de préstamo: 1,00 mill. €",Matteo CancellieriM. Cancellieri
4,FC Empoli,Juventus,Coste de préstamo: 500 mil €,Filippo RanocchiaF. Ranocchia
5,FC Empoli,Perugia,200 mil €,Samuele AngoriS. Angori
6,FC Empoli,Parma,Libre,Alberto GrassiA. Grassi
7,FC Empoli,Parma,Libre,Giuseppe PezzellaG. Pezzella
8,FC Empoli,Sampdoria,?,Francesco CaputoF. Caputo
9,FC Empoli,Torino,?,Etrit BerishaE. Berisha
10,FC Empoli,Sampdoria,Préstamo,Bartosz BereszynskiB. Bereszynski
11,FC Empoli,Lecce,Préstamo,Youssef MalehY. Maleh
12,FC Empoli,Spezia,Préstamo,Simone BastoniS. Bastoni
13,FC Empoli,Nápoles,Préstamo,Elia CaprileE. Caprile
14,FC Empoli,AC Milan,Préstamo,Daniel MaldiniD. Maldini
15,FC Empoli,Cesena,Préstamo,Stiven ShpendiS. Shpendi
16,FC Empoli,Atalanta,Préstamo,Viktor KovalenkoV. Kovalenko
0,Tottenham,FC Empoli,"20,00 mill. €",Guglielmo VicarioG. Vicario
1,Fiorentina,FC Empoli,"10,00 mill. €",Fabiano ParisiF. Parisi
2,Inter,FC Empoli,"10,00 mill. €",Kristjan AsllaniK. Asllani
3,Sassuolo,FC Empoli,"6,00 mill. €",Nedim BajramiN. Bajrami
4,Spezia,FC Empoli,"2,50 mill. €",Filippo BandinelliF. Bandinelli
5,SPAL,FC Empoli,"1,00 mill. €",Andrea La MantiaA. La Mantia
6,Palermo,FC Empoli,"1,00 mill. €",Leo StulacL. Stulac
7,Sambenedettese,FC Empoli,Libre,Leonardo PezzolaL. Pezzola
8,Monterosi,FC Empoli,Libre,Tommaso FantacciT. Fantacci
9,Recanatese,FC Empoli,Libre,Gabriel MeliG. Meli
10,Pontedera,FC Empoli,Préstamo,Samuele AngoriS. Angori
11,Torres,FC Empoli,Préstamo,Giacomo SiniegaG. Siniega
12,Lucchese,FC Empoli,Préstamo,Niccolò ChiorraN. Chiorra
13,Pineto,FC Empoli,Préstamo,Nicolò EvangelistiN. Evangelisti
14,Cittadella,FC Empoli,?,Alessio RizzaA. Rizza
15,Lecco,FC Empoli,?,Giovanni CrociataG. Crociata
16,Lecco,FC Empoli,Préstamo,Duccio Degli InnocentiD. Degli Innocenti
17,Lecco,FC Empoli,Préstamo,Francesco DonatiF. Donati
18,Sampdoria,FC Empoli,Préstamo,Petar StojanovicP. Stojanovic
19,Foggia,FC Empoli,Préstamo,Alessio RossiA. Rossi
20,Palermo,FC Empoli,Préstamo,Liam HendersonL. Henderson
21,Sin equipo,FC Empoli,-,Samir UjkaniS. Ujkani
22,Bolonia,FC Empoli,Fin de préstamo 30/06/2023,Emanuel VignatoE. Vignato
23,Sampdoria,FC Empoli,Fin de préstamo 30/06/2023,Francesco CaputoF. Caputo
24,Lazio,FC Empoli,Fin de préstamo 30/06/2023,Jean-Daniel Akpa AkproJ. Akpa Akpro
25,Cagliari,FC Empoli,Fin de préstamo 30/06/2023,Sebastian WalukiewiczS. Walukiewicz
26,Juventus,FC Empoli,Fin de préstamo 30/06/2023,Marko PjacaM. Pjaca
27,Parma,FC Empoli,Fin de préstamo 30/06/2023,Alberto GrassiA. Grassi
28,Atalanta,FC Empoli,Fin de préstamo 30/06/2023,Sam LammersS. Lammers
29,Nápoles,FC Empoli,Fin de préstamo 30/06/2023,Sebastiano LupertoS. Luperto
30,Atalanta,FC Empoli,Fin de préstamo 31/08/2023,Roberto PiccoliR. Piccoli
31,Juventus,FC Empoli,Fin de préstamo 30/06/2023,Koni De WinterK. De Winter
32,Inter,FC Empoli,Fin de préstamo 30/06/2023,Martín SatrianoM. Satriano
0,Salernitana,Villarreal CF,"12,00 mill. €",Boulaye DiaB. Dia
1,Salernitana,Inter,"5,00 mill. €",Lorenzo PirolaL. Pirola
2,Salernitana,Rennes,"3,00 mill. €",Loum TchaounaL. Tchaouna
3,Salernitana,Pogon Szczecin,"3,00 mill. €",Mateusz LegowskiM. Legowski
4,Salernitana,NK Celje,"1,80 mill. €",Chukwubuikem IkwuemesiC. Ikwuemesi
5,Salernitana,Sampdoria,500 mil €,Antonio CandrevaA. Candreva
6,Salernitana,San Lorenzo,Coste de préstamo: 400 mil €,Agustín MarteganiA. Martegani
7,Salernitana,Mount Pleasant,100 mil €,Trivante StewartT. Stewart
8,Salernitana,Lille,Libre,Benoît CostilB. Costil
9,Salernitana,Sporting Lisboa,Préstamo,JovaneJovane
0,Ancona,Salernitana,60 mil €,Julian KristoffersenJ. Kristoffersen
1,Vis Pesaro,Salernitana,Préstamo,Antonio Pio IervolinoA. Iervolino
2,Olimpija,Salernitana,?,Reda BoultamR. Boultam
3,Ternana,Salernitana,?,Valerio MantovaniV. Mantovani
4,Cracovia,Salernitana,?,Pawel JaroszynskiP. Jaroszynski
5,Ternana,Salernitana,?,Luka BogdanL. Bogdan
6,Taranto,Salernitana,?,Francesco OrlandoF. Orlando
7,ACR Messina,Salernitana,?,Jacopo De MatteisJ. De Matteis
8,Lazio,Salernitana,Préstamo,Luigi SepeL. Sepe
9,Palermo,Salernitana,Préstamo,Mamadou CoulibalyM. Coulibaly
10,Hellas Verona,Salernitana,Préstamo,Federico BonazzoliF. Bonazzoli
11,Legnago,Salernitana,Préstamo,Andrei MotocA. Motoc
12,Inter,Salernitana,Fin de préstamo 30/06/2023,Lorenzo PirolaL. Pirola
13,Venezia,Salernitana,Fin de préstamo 30/06/2023,Domen CrnigojD. Crnigoj
14,Watford,Salernitana,Fin de préstamo 30/06/2023,William Troost-EkongW. Troost-Ekong
15,Juventus,Salernitana,Fin de préstamo 30/06/2023,Hans Nicolussi CavigliaH. Nicolussi Caviglia
16,Hertha Berlín,Salernitana,Fin de préstamo 30/06/2023,Krzysztof PiatekK. Piatek
17,Villarreal CF,Salernitana,Fin de préstamo 30/06/2023,Boulaye DiaB. Dia
18,Sampdoria,Salernitana,Fin de préstamo 30/06/2023,Antonio CandrevaA. Candreva
19,RCD Espanyol,Salernitana,Fin de préstamo 30/06/2023,Tonny VilhenaT. Vilhena
0,Lecce,Fiorentina,"5,00 mill. €",Youssef MalehY. Maleh
1,Lecce,Sampdoria,"4,00 mill. €",Wladimiro FalconeW. Falcone
2,Lecce,Dunajska Streda,"3,90 mill. €",Nikola KrstovicN. Krstovic
3,Lecce,Valenciennes FC,"3,00 mill. €",Mohamed KabaM. Kaba
4,Lecce,VfL Wolfsburgo,"1,60 mill. €",Marin PongracicM. Pongracic
5,Lecce,Aberdeen FC,"1,20 mill. €",Ylber RamadaniY. Ramadani
6,Lecce,Roma J19,"1,00 mill. €",Giacomo FaticantiG. Faticanti
7,Lecce,G. Burdeos,"1,00 mill. €",Rémi OudinR. Oudin
8,Lecce,Pescara,800 mil €,Hamza RafiaH. Rafia
9,Lecce,Nordsjaell. U19,200 mil €,Patrick DorguP. Dorgu
10,Lecce,Täby FK,100 mil €,Zinedin SmajlovicZ. Smajlovic
11,Lecce,Fiorentina,Libre,Lorenzo VenutiL. Venuti
12,Lecce,Atalanta,Préstamo,Roberto PiccoliR. Piccoli
13,Lecce,Basaksehir,Préstamo,Ahmed ToubaA. Touba
14,Lecce,Lecce U19,-,Jeppe CorfitzenJ. Corfitzen
15,Lecce,Lecce U19,-,Rares BurneteR. Burnete
16,Lecce,Rostov,Préstamo,Pontus AlmqvistP. Almqvist
0,Sporting Lisboa,Lecce,"18,00 mill. €",Morten HjulmandM. Hjulmand
1,Damac FC,Lecce,"2,75 mill. €",Assan CeesayA. Ceesay
2,AC Milan,Lecce,Fin de préstamo 30/06/2023,Lorenzo ColomboL. Colombo
3,Palermo,Lecce,"1,30 mill. €",Federico Di FrancescoF. Di Francesco
4,Sampdoria,Lecce,Fin de préstamo 30/06/2023,Wladimiro FalconeW. Falcone
5,Como,Lecce,500 mil €,Tommaso CassandroT. Cassandro
6,Randers FC,Lecce,300 mil €,John BjörkengrenJ. Björkengren
7,Frosinone,Lecce,100 mil €,Simone RomagnoliS. Romagnoli
8,Pescara,Lecce,Libre,Roberto PiernoR. Pierno
9,Carrarese,Lecce,Préstamo,Marco BleveM. Bleve
10,Frosinone,Lecce,?,Ilario MonterisiI. Monterisi
11,Palermo,Lecce,?,Fabio LucioniF. Lucioni
12,E. Braunschweig,Lecce,Préstamo,Thórir Jóhann HelgasonT. Helgason
13,FC Empoli,Lecce,Préstamo,Youssef MalehY. Maleh
14,Vitesse,Lecce,Préstamo,Joel Voelkerling PerssonJ. Voelkerling Persson
15,Lecco,Lecce,Préstamo,Mats LemmensM. Lemmens
16,Ascoli,Lecce,Préstamo,Pablo RodríguezP. Rodríguez
17,Lecce U19,Lecce,-,Daniel SamekD. Samek
18,Sin equipo,Lecce,-,Alessandro TuiaA. Tuia
19,Venezia,Lecce,Fin de préstamo 30/06/2023,Pietro CeccaroniP. Ceccaroni
20,Fiorentina,Lecce,Fin de préstamo 30/06/2023,Youssef MalehY. Maleh
21,G. Burdeos,Lecce,Fin de préstamo 30/06/2023,Rémi OudinR. Oudin
22,Parma,Lecce,Fin de préstamo 30/06/2023,Giuseppe PezzellaG. Pezzella
23,FC Barcelona,Lecce,Fin de préstamo 30/06/2023,Samuel UmtitiS. Umtiti
24,VfL Wolfsburgo,Lecce,Fin de préstamo 30/06/2023,Marin PongracicM. Pongracic
25,Sampdoria,Lecce,Fin de préstamo 30/06/2023,Kristoffer AskildsenK. Askildsen
26,Juventus,Lecce,Fin de préstamo 30/06/2023,Gianluca FrabottaG. Frabotta
0,Hellas Verona,Génova,"2,80 mill. €",Yayah KallonY. Kallon
1,Hellas Verona,Colonia,"2,70 mill. €",Ondrej DudaO. Duda
2,Hellas Verona,B. Dortmund II,"1,00 mill. €",Jayden BraafJ. Braaf
3,Hellas Verona,Fiorentina,Libre,Riccardo SaponaraR. Saponara
4,Hellas Verona,RCD Mallorca,Libre,Jordi MboulaJ. Mboula
5,Hellas Verona,FC Groningen,Préstamo,Tomas SuslovT. Suslov
6,Hellas Verona,Salernitana,Préstamo,Federico BonazzoliF. Bonazzoli
7,Hellas Verona,EC Vitória U20,Préstamo,CharlysCharlys
8,Hellas Verona,Nápoles,Préstamo,Michael FolorunshoM. Folorunsho
9,Hellas Verona,RSC Charleroi,Préstamo,Jackson TchatchouaJ. Tchatchoua
10,Hellas Verona,Hertha Berlín,Préstamo,Suat SerdarS. Serdar
11,Hellas Verona,Verona U19,-,JoselitoJoselito
0,Torino,Hellas Verona,"15,70 mill. €",Ivan IlicIvan Ilic
1,Nápoles,Hellas Verona,"12,00 mill. €",Giovanni SimeoneG. Simeone
2,Lazio,Hellas Verona,"7,96 mill. €",Matteo CancellieriM. Cancellieri
3,Monza,Hellas Verona,"7,50 mill. €",Gianluca CaprariG. Caprari
4,Cagliari,Hellas Verona,"4,00 mill. €",Ibrahim SulemanaI. Sulemana
5,Torino,Hellas Verona,"2,80 mill. €",Adrien TamèzeA. Tamèze
6,Pisa,Hellas Verona,Libre,Miguel VelosoM. Veloso
7,Lucchese,Hellas Verona,Préstamo,Philip YeboahP. Yeboah
8,Fortuna Sittard,Hellas Verona,?,Ivor PandurI. Pandur
9,Olympiakos,Hellas Verona,?,Panagiotis RetsosP. Retsos
10,Sampdoria,Hellas Verona,Préstamo,Daniele GhilardiD. Ghilardi
11,Monterosi,Hellas Verona,Préstamo,Bruno ContiB. Conti
12,Karagümrük,Hellas Verona,Préstamo,Kevin LasagnaK. Lasagna
13,Karagümrük,Hellas Verona,Préstamo,Federico CeccheriniF. Ceccherini
14,Triestina,Hellas Verona,Préstamo,Christian PierobonC. Pierobon
15,Ankaragücü,Hellas Verona,Préstamo,Mert CetinM. Cetin
16,B. Dortmund II,Hellas Verona,Fin de préstamo 30/06/2023,Jayden BraafJ. Braaf
17,Rubin Kazan,Hellas Verona,Fin de préstamo 30/06/2023,Oliver AbildgaardO. Abildgaard
18,CSKA Moscú,Hellas Verona,Fin de préstamo 30/06/2023,Adolfo GaichA. Gaich
19,Colonia,Hellas Verona,Fin de préstamo 30/06/2023,Ondrej DudaO. Duda
20,Hertha Berlín,Hellas Verona,Fin de préstamo 30/06/2023,Deyovaisio ZeefuikD. Zeefuik
21,Sampdoria,Hellas Verona,Fin de préstamo 30/06/2023,Fabio DepaoliF. Depaoli
22,HB Köge U19,Hellas Verona,Fin de préstamo 30/06/2023,Sebastian LarsenS. Larsen
23,Torino,Hellas Verona,Fin de préstamo 30/06/2023,Simone VerdiS. Verdi
24,Génova,Hellas Verona,Fin de préstamo 30/06/2023,Yayah KallonY. Kallon
25,Atalanta U23,Hellas Verona,Fin de préstamo 30/06/2023,Alessandro CortinovisA. Cortinovis
0,Frosinone,Sassuolo,"2,50 mill. €",Abdou HarrouiA. Harroui
1,Frosinone,Sassuolo,"1,50 mill. €",Riccardo MarchizzaR. Marchizza
2,Frosinone,Pescara,300 mil €,Gennaro BorrelliG. Borrelli
3,Frosinone,Lecce,100 mil €,Simone RomagnoliS. Romagnoli
4,Frosinone,FC Bayern II,Libre,Marvin CuniM. Cuni
5,Frosinone,Lecce,?,Ilario MonterisiI. Monterisi
6,Frosinone,AC Milan,?,Marco BrescianiniM. Brescianini
7,Frosinone,Fiorentina,?,Michele CerofoliniM. Cerofolini
8,Frosinone,Monza,?,Luca MazzitelliL. Mazzitelli
9,Frosinone,Bari,?,Pierluigi FrattaliP. Frattali
10,Frosinone,Spezia,?,Mehdi BourabiaM. Bourabia
11,Frosinone,Real Madrid,Préstamo,ReinierReinier
12,Frosinone,Sassuolo,Préstamo,Stefano TuratiS. Turati
13,Frosinone,Juventus,Préstamo,Enzo BarrenecheaE. Barrenechea
14,Frosinone,Bayern Múnich,Préstamo,Arijon IbrahimovicA. Ibrahimovic
15,Frosinone,Atalanta,Préstamo,Caleb OkoliC. Okoli
16,Frosinone,Marsella,Préstamo,Pol LirolaP. Lirola
17,Frosinone,Juventus,Préstamo,Kaio JorgeKaio Jorge
18,Frosinone,Juventus,Préstamo,Matías SouléM. Soulé
19,Frosinone,Nápoles,Préstamo,Walid CheddiraW. Cheddira
20,Frosinone,Kolkheti Poti,Préstamo,Giorgi KvernadzeG. Kvernadze
21,Frosinone,Frosinone U19,-,Daniel MacejD. Macej
22,Frosinone,Frosinone U19,-,Lorenzo PalmisaniL. Palmisani
23,Frosinone,Frosinone U19,-,Matjaz Kamensek-PahicM. Kamensek-Pahic
0,Sassuolo,Frosinone,"10,00 mill. €",Daniel BolocaD. Boloca
1,Palermo,Frosinone,"1,00 mill. €",Roberto InsigneR. Insigne
2,Inter,Frosinone,Fin de préstamo 30/06/2023,Samuele MulattieriS. Mulattieri
3,Hobro IK,Frosinone,Libre,Lukas KlittenL. Klitten
4,Birkirkara FC,Frosinone,Libre,Alexander SatarianoA. Satariano
5,Alessandria,Frosinone,Libre,Michele VolpeM. Volpe
6,AS Gubbio,Frosinone,Libre,Thomas VettorelT. Vettorel
7,Dolomiti,Frosinone,Libre,Federico BevilacquaF. Bevilacqua
8,Modena,Frosinone,Libre,Matteo CotaliM. Cotali
9,Karagümrük,Frosinone,Libre,Marcus RohdénM. Rohdén
10,Torres,Frosinone,Préstamo,Kalifa KujabiK. Kujabi
11,Olbia,Frosinone,Préstamo,Lorenzo PalmisaniL. Palmisani
12,Sampdoria,Frosinone,?,Matteo RicciM. Ricci
13,NK Maribor,Frosinone,?,Marko BozicM. Bozic
14,Pro Vercelli,Frosinone,Préstamo,Hamza HaoudiH. Haoudi
15,Brescia,Frosinone,Préstamo,Gennaro BorrelliG. Borrelli
16,Cosenza,Frosinone,Préstamo,Luigi CanottoL. Canotto
17,Reggiana,Frosinone,Préstamo,Przemyslaw SzyminskiP. Szyminski
18,ACR Messina,Frosinone,Préstamo,Pierluca LucianiP. Luciani
19,Sin equipo,Frosinone,-,Giuseppe MarcianòG. Marcianò
20,Sin equipo,Frosinone,-,Luca MatareseL. Matarese
21,Lecce,Frosinone,Fin de préstamo 30/06/2023,Fabio LucioniF. Lucioni
22,Lecce,Frosinone,Fin de préstamo 30/06/2023,Ilario MonterisiI. Monterisi
23,Sassuolo,Frosinone,Fin de préstamo 30/06/2023,Luca MoroLuca Moro
24,Sassuolo,Frosinone,Fin de préstamo 30/06/2023,Stefano TuratiS. Turati
25,Pisa,Frosinone,Fin de préstamo 30/06/2023,Leonardo LoriaL. Loria
26,Pescara,Frosinone,Fin de préstamo 30/06/2023,Gennaro BorrelliG. Borrelli
27,Torino,Frosinone,Fin de préstamo 30/06/2023,Ben Lhassine KoneB. Kone
